Year,Month,Week,Country,Region,Student_Count,Gender,Degree_Type,Course,Interest_Area
2022,April,17,UK,Europe,271,Female,Postgraduate,Medicine,Entrepreneurship
2022,April,17,Australia,Oceania,404,Female,Undergraduate,Medicine,Research
2021,December,50,Australia,North America,90,Female,Undergraduate,Medicine,Employment
2021,September,37,UK,Asia,105,Other,Postgraduate,Business,Employment
2023,October,41,India,Europe,348,Male,PhD,Medicine,Research
2021,March,10,UK,North America,266,Female,Undergraduate,Medicine,Employment
2023,October,44,UK,Europe,330,Other,PhD,Engineering,Research
2022,September,37,UK,Europe,70,Male,Postgraduate,Medicine,Research
2023,April,15,India,Oceania,338,Male,Postgraduate,Engineering,Entrepreneurship
2022,March,10,Australia,Europe,82,Other,Postgraduate,Science,Employment
2023,May,18,Australia,Oceania,214,Male,PhD,Medicine,Employment
2022,March,12,Canada,Oceania,200,Male,Postgraduate,Business,Research
2021,March,09,Australia,Europe,367,Other,Undergraduate,Science,Research
2022,September,36,India,Asia,118,Female,Undergraduate,Science,Employment
2023,November,45,India,North America,144,Female,Undergraduate,Science,Entrepreneurship
2021,August,32,India,Europe,243,Female,Postgraduate,Business,Research
2022,July,29,Canada,Asia,398,Female,Undergraduate,Engineering,Entrepreneurship
2023,May,19,USA,Asia,92,Other,Undergraduate,Medicine,Research
2022,November,45,Canada,North America,152,Female,PhD,Arts,Research
2023,September,39,India,Europe,115,Other,Undergraduate,Business,Research
2021,July,27,UK,Oceania,436,Female,PhD,Arts,Employment
2022,August,33,Australia,Europe,197,Female,PhD,Business,Research
2022,November,48,Canada,Asia,489,Female,PhD,Science,Research
2022,October,43,Canada,Asia,408,Other,PhD,Arts,Employment
2021,April,17,Australia,North America,313,Female,Undergraduate,Science,Employment
2023,November,46,Canada,Asia,198,Female,Postgraduate,Medicine,Entrepreneurship
2023,January,01,Australia,North America,205,Male,Undergraduate,Science,Employment
2023,November,45,USA,Asia,131,Male,Postgraduate,Medicine,Employment
2021,October,40,India,Oceania,229,Female,Undergraduate,Science,Entrepreneurship
2022,February,08,UK,Oceania,311,Female,Postgraduate,Medicine,Employment
2023,May,20,UK,Oceania,184,Other,PhD,Arts,Employment
2022,October,41,Canada,Europe,430,Female,Undergraduate,Business,Employment
2021,June,24,Canada,Asia,412,Male,Undergraduate,Medicine,Research
2021,April,17,Australia,Europe,461,Female,Postgraduate,Business,Entrepreneurship
2021,October,41,USA,Asia,255,Other,Postgraduate,Medicine,Employment
2023,June,24,UK,Europe,366,Other,Undergraduate,Arts,Employment
2021,October,40,India,Asia,352,Female,Undergraduate,Medicine,Entrepreneurship
2021,November,47,Canada,Europe,241,Male,Undergraduate,Arts,Employment
2023,February,09,Australia,Oceania,120,Other,Postgraduate,Business,Entrepreneurship
2021,June,22,India,Europe,403,Other,Undergraduate,Arts,Research
2023,June,23,USA,Europe,499,Female,Postgraduate,Engineering,Entrepreneurship
2022,January,02,USA,Europe,198,Male,Undergraduate,Medicine,Research
2022,October,41,Canada,Oceania,479,Other,Postgraduate,Science,Research
2021,June,22,UK,Asia,206,Female,Postgraduate,Business,Research
2023,February,07,USA,Oceania,347,Male,Postgraduate,Medicine,Entrepreneurship
2021,April,16,Australia,Asia,180,Other,Postgraduate,Medicine,Employment
2023,December,52,Australia,North America,439,Other,Undergraduate,Engineering,Employment
2021,October,43,USA,Asia,403,Female,Postgraduate,Medicine,Employment
2021,June,22,Australia,Asia,306,Other,Undergraduate,Medicine,Research
2021,March,11,USA,Oceania,390,Female,PhD,Medicine,Entrepreneurship
2021,June,22,USA,Oceania,137,Other,PhD,Engineering,Research
2023,October,40,Canada,Asia,318,Male,Undergraduate,Business,Research
2022,July,30,Australia,North America,315,Female,Undergraduate,Engineering,Entrepreneurship
2021,February,08,USA,North America,282,Male,PhD,Engineering,Employment
2022,September,39,USA,Europe,154,Female,Undergraduate,Science,Research
2021,April,15,UK,North America,261,Male,Undergraduate,Arts,Research
2021,August,32,India,Europe,100,Male,Undergraduate,Medicine,Entrepreneurship
2022,August,35,USA,North America,449,Female,Postgraduate,Arts,Research
2022,November,45,India,Asia,102,Male,PhD,Science,Entrepreneurship
2021,September,36,UK,Oceania,176,Female,PhD,Business,Employment
2023,May,19,USA,Asia,302,Male,Undergraduate,Engineering,Employment
2022,January,01,Australia,Europe,328,Female,PhD,Engineering,Employment
2022,February,05,Australia,Europe,74,Female,Undergraduate,Arts,Entrepreneurship
2023,April,17,USA,Asia,427,Other,Postgraduate,Business,Research
2023,January,01,USA,Asia,234,Male,Postgraduate,Medicine,Entrepreneurship
2022,October,40,UK,North America,256,Female,PhD,Medicine,Research
2021,April,15,UK,North America,272,Other,Undergraduate,Arts,Research
2022,April,17,Australia,Europe,205,Female,Undergraduate,Science,Entrepreneurship
2022,November,45,USA,North America,327,Female,PhD,Engineering,Research
2021,November,46,Canada,Asia,259,Other,Undergraduate,Business,Entrepreneurship
2023,August,32,Australia,Europe,284,Other,Undergraduate,Medicine,Employment
2022,January,01,UK,Oceania,149,Female,PhD,Arts,Research
2021,March,12,UK,Asia,410,Other,Postgraduate,Science,Entrepreneurship
2023,December,52,Canada,Oceania,472,Other,Postgraduate,Medicine,Entrepreneurship
2022,May,20,India,Asia,102,Female,Undergraduate,Arts,Employment
2021,April,17,Australia,Europe,144,Other,PhD,Science,Entrepreneurship
2021,January,02,Canada,Europe,262,Female,PhD,Medicine,Entrepreneurship
2022,April,15,USA,North America,186,Female,Postgraduate,Engineering,Entrepreneurship
2023,April,17,India,Asia,414,Other,PhD,Science,Employment
2023,October,43,India,Europe,50,Other,Undergraduate,Business,Entrepreneurship
2021,October,41,USA,Europe,229,Other,PhD,Engineering,Research
2022,March,12,Canada,Asia,141,Female,Postgraduate,Science,Employment
2023,May,18,Australia,Oceania,205,Male,Postgraduate,Arts,Entrepreneurship
2023,October,44,UK,Oceania,491,Male,Undergraduate,Arts,Employment
2022,October,41,India,North America,273,Female,Postgraduate,Science,Employment
2021,June,23,Australia,Europe,382,Male,Undergraduate,Science,Employment
2021,December,51,USA,Asia,286,Female,Postgraduate,Business,Employment
2023,November,45,USA,Oceania,297,Other,Postgraduate,Medicine,Research
2022,May,18,USA,Europe,79,Other,PhD,Business,Entrepreneurship
2023,July,27,Australia,Oceania,121,Male,Undergraduate,Science,Research
2021,September,37,USA,North America,287,Other,Postgraduate,Business,Employment
2023,June,24,India,Oceania,214,Male,Postgraduate,Medicine,Employment
2023,October,40,India,Oceania,394,Other,Postgraduate,Business,Employment
2021,June,23,Canada,Asia,222,Male,Undergraduate,Arts,Employment
2022,January,03,India,North America,345,Other,PhD,Engineering,Entrepreneurship
2021,July,30,Canada,Oceania,210,Female,PhD,Business,Entrepreneurship
2022,December,51,Australia,Asia,52,Female,Postgraduate,Arts,Entrepreneurship
2023,June,24,Canada,Europe,133,Male,PhD,Business,Entrepreneurship
2022,November,45,India,North America,194,Other,Postgraduate,Medicine,Employment
2021,February,08,Australia,Asia,449,Female,PhD,Medicine,Research
2023,September,37,India,Europe,273,Male,PhD,Science,Employment
2021,July,29,India,Europe,455,Female,Postgraduate,Medicine,Employment
2021,September,38,Canada,Europe,453,Other,Postgraduate,Science,Research
